domain,edge,field,manual_value,inferred_value,match,ii_with_manual,ii_with_inferred,ii_delta_pct,method,git_hash,timestamp
dsp_ofdm,fft_butterfly->channel_est,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,channel_est->equalizer,rate,1200,1024,0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,channel_est->equalizer,tile_shape,[1200],[1024],0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,channel_est->equalizer,visibility,LOCAL_SPM,LOCAL_SPM,1,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,channel_est->equalizer,double_buffering,False,False,1,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,channel_est->equalizer,backpressure,N/A,BLOCK,0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,equalizer->qam_demod,rate,1200,1024,0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,equalizer->qam_demod,tile_shape,[1200],[1024],0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,equalizer->qam_demod,visibility,LOCAL_SPM,LOCAL_SPM,1,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,equalizer->qam_demod,double_buffering,False,False,1,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,equalizer->qam_demod,backpressure,N/A,BLOCK,0,1200,1024,14.67,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,qam_demod->viterbi,rate,7200,1024,0,7200,1024,85.78,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,qam_demod->viterbi,tile_shape,[7200],[1024],0,7200,1024,85.78,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,qam_demod->viterbi,visibility,LOCAL_SPM,LOCAL_SPM,1,7200,1024,85.78,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,qam_demod->viterbi,double_buffering,True,False,0,7200,1024,85.78,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,qam_demod->viterbi,backpressure,N/A,BLOCK,0,7200,1024,85.78,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,viterbi->crc_check,rate,1800,1024,0,1800,1024,43.11,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,viterbi->crc_check,tile_shape,[1800],[1024],0,1800,1024,43.11,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,viterbi->crc_check,visibility,LOCAL_SPM,LOCAL_SPM,1,1800,1024,43.11,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,viterbi->crc_check,double_buffering,False,False,1,1800,1024,43.11,simulated,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,viterbi->crc_check,backpressure,N/A,BLOCK,0,1800,1024,43.11,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,harris_corner->sad_matching,rate,4096,1024,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,harris_corner->sad_matching,tile_shape,"[64, 64]",[1024],0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,harris_corner->sad_matching,visibility,LOCAL_SPM,LOCAL_SPM,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,harris_corner->sad_matching,double_buffering,True,False,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,harris_corner->sad_matching,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,sad_matching->stereo_disparity,rate,262144,1024,0,262144,1024,99.61,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,sad_matching->stereo_disparity,tile_shape,"[64, 64, 64]",[1024],0,262144,1024,99.61,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,sad_matching->stereo_disparity,visibility,LOCAL_SPM,LOCAL_SPM,1,262144,1024,99.61,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,sad_matching->stereo_disparity,double_buffering,True,False,0,262144,1024,99.61,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,sad_matching->stereo_disparity,backpressure,N/A,BLOCK,0,262144,1024,99.61,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,stereo_disparity->image_warp,rate,4096,1024,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
