core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
ctrl,tier2,39,spatial_pe,6,6,36,5,2,0,1,4,492548.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,40,spatial_pe,7,6,42,4,0,0,2,4,560048.0,0,3.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,41,spatial_pe,6,7,42,5,2,1,1,4,575548.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,42,spatial_pe,6,7,42,4,1,1,1,4,569048.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,43,spatial_pe,6,6,36,3,1,0,1,8,486096.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,44,spatial_pe,6,6,36,3,0,0,1,8,481596.0,0,6.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,45,spatial_pe,7,6,42,5,0,0,2,8,564096.0,0,3.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,46,spatial_pe,6,6,36,4,1,0,1,8,488096.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,47,spatial_pe,6,6,36,4,2,1,1,4,498548.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,48,spatial_pe,7,7,49,5,0,0,1,4,645548.0,0,6.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,49,spatial_pe,6,6,36,3,1,0,1,8,486096.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,50,spatial_pe,6,6,36,3,0,0,1,8,481596.0,0,6.0,8,4d4c308,2026-03-24T07:06:15Z
gp,tier1,0,spatial_pe,6,6,36,3,2,1,2,16,506192.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,1,spatial_pe,6,7,42,4,1,2,1,12,581144.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,2,spatial_pe,7,6,42,4,2,0,2,16,575192.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,3,spatial_pe,6,7,42,4,2,1,3,16,586692.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,4,spatial_pe,6,6,36,4,3,1,2,12,510644.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,5,spatial_pe,6,6,36,2,3,1,3,20,514240.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,6,spatial_pe,6,6,36,3,3,1,1,20,509240.0,1,5.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,7,spatial_pe,6,7,42,2,1,0,2,20,568740.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,8,spatial_pe,7,6,42,4,2,1,3,20,588740.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,9,spatial_pe,6,6,36,2,2,2,2,16,512192.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,10,spatial_pe,6,7,42,3,2,0,2,16,573192.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,11,spatial_pe,6,7,42,4,1,0,1,16,567192.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,12,spatial_pe,7,6,42,2,2,2,3,16,590692.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,13,spatial_pe,7,7,49,3,2,2,1,16,672692.0,1,5.5,2,4d4c308,2026-03-24T07:06:15Z
